Year,Action,Adventure,Fighting,Misc,Platform,Puzzle,Racing,Role-Playing,Shooter,Simulation,Sports,Strategy
2006,83,121,274,337,459,87,569,60,861,0,179,0
2007,1132,8,14,844,633,0,450,73,109,106,366,0
2008,345,4,13,666,778,9,135,95,371,0,131,0
2009,1072,21,12,401,553,0,549,4,390,99,145,81
2010,75,319,67,211,79,0,272,63,215,27,554,56
2011,974,131,0,118,473,0,48,17,668,17,155,0
2012,669,23,12,0,214,0,70,0,46,0,139,0
2013,235,169,0,0,0,0,323,51,334,0,85,0
2014,779,0,0,526,254,0,207,80,0,0,0,0
2015,791,0,0,0,26,0,0,0,174,0,132,0
2016,121,41,0,25,154,0,9,0,539,0,0,0
